,Emotion,URLs,color
78,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGXQvYMeVpbyIvhJLqdbkvoiJbUTg0SqsEGsJCTVmgDS7ckFRV-RFfrtt8wvE&s,"(238, 234, 229)"
79,nervous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDaAhdR3WbnIG92eO9NG0veTTTLZb4x7O_zm_MrtHBHNlrKyx2Riq5QFQhf2c&s,"(232, 232, 232)"
80,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS04-HOV3NChtDh1DxLrEzK48I_m0qdECuFZuU8hQ0IzEltcrMoqJ4VhRO_QTU&s,"(242, 158, 13)"
81,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkjdRnPoOtYMnzCR0c8LqSNdhpskY24W--7hS6D2EJ1cknI7OY6jjyBrmjlgE&s,"(72, 43, 32)"
82,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVzy5IwtLSe9k1IQNe4NJzSyskmczfsoPELDociVfTuD3-Dr3yJQdU4a86FQ&s,"(251, 203, 75)"
83,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8Uhxa1MMgq4VbAc1KzJUtlqt_2lOT4txHEpkSuh-5ivWLRIFg2cQrgiLVOA&s,"(180, 155, 144)"
84,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4gyzt_YmmrDhVQecb1aDXaC8GHzU9uJoqve0UxfNCjSjchqnMsmxGKbHsew&s,"(210, 200, 203)"
85,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLXQCxVc9saTQmAggu31CwDkAU5e5W7UXgQ-1NwGz8BJt0BgfmeJ2SffN9WQ&s,"(230, 222, 208)"
86,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLk7IEsLG4RAuEo8WEPYCMfveE6KekPsb4M3vSnlqj3UYiKD8ocHM_VFu37g&s,"(232, 109, 52)"
87,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWMz9Z74jTvD09DTZA7-JveJUVa1ojyHU5gA6s-UWawhwnm_dm5vkzMMVWiQ&s,"(137, 108, 82)"
88,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnoitDX5UjNa7pxIpliRHZvphmbQKJ1t3W2ecuSwR2ysYfjTzWL6KV-Qlg-g&s,"(197, 150, 133)"
89,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsO2vfOK9-pCQCxg238-p4Li61CtZZ3QWtP2HpzU6BN82Yxk-F_r5dfyNFRFk&s,"(248, 204, 46)"
90,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrHSsNCOz98uaRamSV7k1cCLNGSZdFu_NQDwZX3Y_B8-Zq2HXjPn60L5ATFQ&s,"(231, 151, 158)"
91,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy-qTFf9XNG9I92oxag9BVwIMjOo7tDk7kmlVjK5CD34JkieLNlk4PBDzAFF8&s,"(206, 193, 187)"
92,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYAEgDRL3bwsHQKfsorEM1hfZO7h6H0B-i4X2YqUxd1Vi9RJgDvgb2loMMA&s,"(248, 180, 30)"
93,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7up9xD96esQXErdGmIqoevl8SyVB3BOsQV350l40zV6fe_Z-8UyoGRGXZ_0o&s,"(224, 221, 222)"
94,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3ZdcM3hnTPQdfZz1CXNmoWJ8LVziLFMmmlVoR8am0MymqB5KGSS1CWKwe7w&s,"(53, 44, 35)"
95,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFllO1BW9Dym9rRkK3DYWZiRrnGekTB2lW8qLzLocLqi3K1HsxfhRrDe1E8n8&s,"(212, 197, 177)"
96,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-k3Zs-s_vYQMXLNOG0AzsgxaJbqpIL3kyFbpPeimMpk7vGPE7-YLChyFmvA&s,"(241, 185, 185)"
97,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7lv2N2V7CPF3LlL-5odYuDmFuCf_2W5E17PEAqWFXr0Gl81E-0cLCLDj5cw&s,"(196, 203, 209)"
98,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLKAUWKZHGvGG4ytCPiH4uOaxyFgIV0GWZRYkUWNCbzdQIqYqpI4D1DDQO&s,"(222, 184, 100)"
99,astonished,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdCUe9o8ndgiri_ANLhS2B89WNjNwQHOnzSUGUchPTFkRXBmOt7bjiIofS6w&s,"(250, 199, 52)"
100,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCGGNY4HnK9NjUesRw_kq0ixo5jUovrHFLpOKoz4q-08vVrenZsM8h_JTAvw&s,"(220, 82, 71)"
101,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5klIZCq1J4S97U_pASgglMXWQ1VDerDdf6AeprMQTmPE9d_2dAuetEHiJ9g&s,"(155, 210, 220)"
102,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmYZl2YSsz4wXmu3XHmC7dVK5AIpZa0qFb_EA9rfswYeOx85YvAUkinvgTcac&s,"(15, 22, 15)"
103,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQY35oY1X9r0CJYuUMy83-jlMuIxhxFB9ZgM9iS_MdISL1ucuMEKm7bzROuw&s,"(206, 231, 228)"
104,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4iNpSQyWTtAEuU-q0SXWtmZKk0Qt3H0uwiI_TI1_xKIA0hGOF-aAqHaEQhlw&s,"(218, 209, 206)"
105,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0QNIlKdq1OwbL1RE-U3pH5c3wCSgvWklEmsOtezQth9Rl4FtxPbR2bY4PPIs&s,"(67, 65, 58)"
106,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNx1w91dozxuU4TQ-cK3Bdn4PohoMYfBJPo2zmnnlLgGaIL94DFp2A-SZ61Q&s,"(186, 143, 130)"
107,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG45XtdtMNUgKVJDlso-_9WcIBMJcCMEnYNGf9lz8IUhKQdwKOQCY9dsdmGLw&s,"(241, 239, 238)"
108,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDne7F2LoVGCe3bwMWrEmyY84Rn2BSTQE8IqYgPao9MQPgPUzaSMLuHpaaFA&s,"(71, 74, 75)"
109,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV3sy1U4GTdPXwc1SRcbO9FqSGnk5W_NRJnpV4LnF8B3jScncLr-MMdOv1Sg&s,"(4, 4, 4)"
110,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_o-7iEqOzGNs08QjEHq4vxkmb8rpE05TG0djX7Dn5QwiJ1FJkz5bCB4bmJQ&s,"(81, 75, 92)"
111,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV3y3h1be3tUIJuosndhpCMCicrZDdZOlHroIea_MUUhuT1ko-MOjk97BSAQ&s,"(217, 225, 197)"
112,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqgaCbD0SdOEh-ncYLaB0RQt8nx6_exdnaEvcetpOPYhb3tgKNxTm85Wn-Og8&s,"(192, 131, 103)"
113,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiXGc-r0IA3_8szUq9tNr34sXoLRYbIKrbgZM1Tcd94paB2nmy16S8cBofvZk&s,"(203, 186, 182)"
114,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqTzJ5t8J7oN9keTwA-eDVsoOsX2mf8b3gkuTCQPsuRdbGosu5mMZ0fx0E0w&s,"(209, 204, 205)"
115,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNtd5644kOSOtucHL_paqk9V05Z1WDTYSK6-mcZweUD8Ft2dApWQX8Q9TpJg&s,"(189, 205, 214)"
116,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbmJNxIQIQaWXO263xFsDLyYDLiUf80eizEExd1efdgMfdLvUUP0IgWyzkjA&s,"(230, 229, 228)"
117,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0JrI_HuidIYkhNlpY7gM6lUorjGw8fJ_L4ZIDN4xNn5dgKCEYfQyikgvCbg&s,"(21, 16, 12)"
118,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvxbunyPynHe2BA0z5SkhKaU-UGc0tnc2r9fEMshgpigJP2iJEGuFfB2qfDQ&s,"(217, 186, 176)"
119,afraid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTALeKumECAzUZznZ9sKwdWJS0p8kU-pTtoH3a5Y19iHEeozC7OJ-oj3z0GEA&s,"(185, 177, 171)"
120,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvKzDs1cuzmTPk0x3zDDUO9oTapyBusJbhg15NtgRR03I9NbEv_x8h5i9uAUI&s,"(66, 54, 44)"
121,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtd5DKugq6Fw-eV8NEpj3PpJVL2rx6nZZUGfq1vO_UfzG2BJlwa75WGkOnguw&s,"(192, 166, 136)"
122,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxw4F9AU1T1clfWyXM0rytKJpwuEhSxIQTgf-J-KC0Otc3mD8lMw2jySiWFBI&s,"(138, 158, 182)"
123,peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVWoNtxUoICqhtds9szq00pQcPk5fHo0_bIVsf6O_8wN1uovu_1iB0G6YuQx0&s,"(207, 196, 225)"
